Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
Eu2O3,1,../data/Structures/Insulators/Eu2O3_CollCode_96953.cif,0.078873133,14.36657898,12.57661563,-30.86500025,87,62,63.36,3.856958517,2.346923453,3.361389724
EuO,1,../data/Structures/Insulators/EuO_RT_CollCode_53437.cif,0.092461775,9.63963821,14.59939499,-19.57555995,87,62,66,3.635943069,2.571,3.635943069
Fe2O3,1,../data/Structures/Insulators/Fe2O3_CollCode_15840.cif,0.018930249,19.93375078,14.07497622,-35.71697828,87,32,31.68,3.329207002,2.030912642,2.805035513
FeO,1,../data/Structures/Insulators/FeO_CollCode_82233.cif,0.083314943,9.744407415,15.96866752,-23.26803728,87,32,33,3.058943935,2.163,3.058943935
FeS2,1,../data/Structures/Insulators/FeS2_CollCode_316.cif,0.14930622,10.70017783,12.32765099,-10.04987679,88,33,12,3.838246319,2.268708177,2.853926557
Gd2CuO4,1,../data/Structures/Insulators/Gd2CuO4_CollCode_65015.cif,0.201875317,14.34872965,11.54674904,-28.97178173,87,60,53.2244898,6.545651457,1.946,2.897019864
GdTiO3,1,../data/Structures/Insulators/GdTiO3_CollCode_8149.cif,0.06980335,12.06047675,16.10237501,-33.14161626,87,60,53.76,3.876100922,2.038595738,2.924929462
Ho2O3,1,../data/Structures/Insulators/Ho2O3_CollCode_80038.cif,0.035302108,15.9056206,15.75336413,-31.57719396,87,54,60.48,3.765225283,2.29397273,3.278288878
KVO3,1,../data/Structures/Insulators/KVO3_CollCode_1486.cif,0.179319551,58.63344361,3.246802306,-43.98081836,87,84,53.76,3.420420473,1.723875904,3.083042686
La2CoO4,1,../data/Structures/Insulators/La2CoO4_CollCode_16404.cif,0.447730093,12.70560182,19.18363122,-27.58884524,87,74,55.83673469,3.881309186,1.97360023,2.919435217
La2CuO4,1,../data/Structures/Insulators/La2CuO4_CollCode_71795.cif,0.14930622,12.75925807,14.58551882,-14.33522519,87,74,56.81632653,3.800029737,2.227146018,0.606660548
La2O3,1,../data/Structures/Insulators/La2O3_CollCode_56771.cif,0.283363664,26.96155854,16.51316941,-29.40777944,87,74,67.68,3.778303731,2.51637256,3.059371252
La2RuO5,1,../data/Structures/Insulators/La4Ru2O10_HT_CollCode_170765.cif,0.164093926,10.37865384,8.709237899,-35.59839269,87,74,56.5625,3.976325199,2.008909659,2.940900932
La2Zr2O7,1,../data/Structures/Insulators/La2Zr2O7_CollCode_51573.cif,0.179907027,42.15839074,15.8066411,-37.60323898,87,74,57.85123967,3.818270552,2.098659605,3.005704122
LaCrO3,1,../data/Structures/Insulators/LaCrO3_CollCode_50755.cif,0.065991414,14.49313993,13.87517546,-33.097314,87,74,51.36,3.883547309,1.969495664,2.920868288
LaFeO3,1,../data/Structures/Insulators/LaFeO3_CollCode_78062.cif,0.042807324,20.59470268,13.30902823,-32.76413326,87,74,49.68,3.929716597,2.006580413,2.950495026
LaMnO3,1,../data/Structures/Insulators/LaMnO3_CollCode_50334.cif,0.086266164,13.86704549,10.56817573,-32.83102388,87,74,51.36,3.918320615,2.01794311,2.950645977
LaRhO3,1,../data/Structures/Insulators/LaRhO3_CollCode_172347.cif,0.101178439,7.302539916,11.96559982,-32.52418281,87,74,52.08,3.958710108,2.053106415,2.971776152
LaTiO3,1,../data/Structures/Insulators/LaTiO3_CollCode_8146.cif,0.061213383,12.1344118,16.1806659,-32.53925109,87,74,56.4,3.954808953,2.017912381,2.965797069
LaVO3,1,../data/Structures/Insulators/LaVO3_HT_CollCode_73898.cif,0.020531712,13.73011237,14.74290647,-32.7885831,87,74,54.72,3.925977036,2.003490835,2.945394232
LaYbO3,1,../data/Structures/Insulators/LaYbO3_CollCode_189419.cif,0.159087248,27.3168353,17.03888438,-30.81349266,87,74,62.88,4.166728516,2.66385575,3.173281988
LiVO2,1,../data/Structures/Insulators/LiVO2_HT_CollCode_202541.cif,0.070126416,14.60826599,12.69292262,-26.52242299,87,86,37.25,5.161841993,2.020985833,2.965745306
Lu2O3,1,../data/Structures/Insulators/Lu2O3_CollCode_428543.cif,0.020425619,20.37706561,18.83109863,-32.38445097,87,46,58.08,3.680389377,2.233436897,3.261985817
MgO,1,../data/Structures/Insulators/MgO_CollCode_9863.cif,0.007986688,60.27926087,18.16337112,-23.8694639,87,19,37.5,2.981869296,2.1085,2.981869296
MgTiO3,1,../data/Structures/Insulators/MgTiO3_SD_0546411.cif,0.757625804,51.23480164,4.223162871,-35.56576202,87,44,40.56,3.001785467,2.140177226,2.85439131
Mn2O3,1,../data/Structures/Insulators/Mn2O3_CollCode_9091.cif,0.0730594,13.23714341,11.07444466,-35.87759452,87,35,35.04,3.344977865,2.03250103,2.952125843
MnO,1,../data/Structures/Insulators/MnO_CollCode_9864.cif,0.107772304,13.44767255,15.45152979,-22.64002008,87,35,36.5,3.143796749,2.223,3.143796749
MnO2,1,../data/Structures/Insulators/MnO2_CollCode_393.cif,0.221238833,16.99669512,6.834580732,-48.92012694,87,35,32.44444444,3.425792419,1.888779196,2.588775271
MoO3,1,../data/Structures/Insulators/MoO3_CollCode_35076.cif,0.068682204,52.62265522,9.41451682,-65.71777086,87,37,33,3.438061641,1.921359421,2.928529153
