model_type,positive_class,metric_name,metric_value,metric_dispersion,raw_metric
XGBClassifier,MIT,roc_auc,0.902777778,0.017433955,"[0.8857808857808858, 0.9065656565656566, 0.9166666666666666, 0.9090909090909091, 0.9166666666666667, 0.8585858585858586, 0.8904428904428904, 0.8989898989898989, 0.8927738927738929, 0.9065656565656565]"
XGBClassifier,MIT,f1_weighted,0.84407095,0.032008998,"[0.8459182349123945, 0.8463589743589742, 0.8697115384615384, 0.8695652173913043, 0.8666666666666667, 0.8222222222222222, 0.8135265700483091, 0.8422236642872594, 0.8295807453416149, 0.8295807453416149]"
XGBClassifier,Multiclass,precision_weighted,0.773568578,0.032748013,"[0.8185185185185185, 0.7610671936758893, 0.7822222222222223, 0.7318840579710144, 0.7755555555555556, 0.74515595463138, 0.7850574712643679, 0.7808604439039222, 0.742889341282536, 0.7715816005040957]"
XGBClassifier,Multiclass,recall_weighted,0.75821256,0.038647343,"[0.8043478260869565, 0.7391304347826086, 0.782608695652174, 0.7391304347826086, 0.7777777777777778, 0.7391304347826086, 0.7777777777777778, 0.7555555555555555, 0.7391304347826086, 0.7608695652173914]"
XGBClassifier,Multiclass,roc_auc_ovr_weighted,0.893482038,0.031703769,"[0.901209391209391, 0.8736409136409135, 0.8778294550605763, 0.8889879100876543, 0.9166066066066065, 0.8795049595049593, 0.9214532714532715, 0.8783929383929384, 0.9134298196083093, 0.8979761657107196]"
XGBClassifier,Multiclass,f1_weighted,0.759354042,0.032361349,"[0.8022448565926826, 0.7452492289324446, 0.7790281329923272, 0.7329192546583849, 0.773135124833238, 0.7385798522307475, 0.7710288065843621, 0.7543447293447293, 0.731296851574213, 0.7643633540372669]"
DummyClassifier,Metal,precision_weighted,0.708870215,0,"[0.7088702147525676, 0.7088702147525676, 0.7088702147525676, 0.7088702147525676, 0.7088702147525676, 0.7088702147525676, 0.7088702147525676, 0.7088702147525676, 0.7088702147525676, 0.7088702147525676]"
DummyClassifier,Metal,recall_weighted,0.422222222,0,"[0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222, 0.4222222222222222]"
DummyClassifier,Metal,roc_auc,0.5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
DummyClassifier,Metal,f1_weighted,0.475720165,0,"[0.47572016460905353, 0.47572016460905353, 0.47572016460905353, 0.47572016460905353, 0.47572016460905353, 0.47572016460905353, 0.47572016460905353, 0.47572016460905353, 0.47572016460905353, 0.47572016460905353]"
DummyClassifier,Insulator,precision_weighted,0.480625584,0.008652449,"[0.48062558356676, 0.46908898491930506, 0.48062558356676, 0.48062558356676, 0.5146838345533116, 0.48062558356676, 0.48062558356676, 0.48062558356676, 0.46908898491930506, 0.46908898491930506]"
DummyClassifier,Insulator,recall_weighted,0.488888889,0.007971014,"[0.4888888888888889, 0.4782608695652174, 0.4888888888888889, 0.4888888888888889, 0.5217391304347826, 0.4888888888888889, 0.4888888888888889, 0.4888888888888889, 0.4782608695652174, 0.4782608695652174]"
DummyClassifier,Insulator,roc_auc,0.5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
DummyClassifier,Insulator,f1_weighted,0.482633577,0.009381743,"[0.4826335769731996, 0.47012458682939234, 0.4826335769731996, 0.4826335769731996, 0.5142808712602763, 0.4826335769731996, 0.4826335769731996, 0.4826335769731996, 0.47012458682939234, 0.47012458682939234]"
DummyClassifier,MIT,precision_weighted,0.63697479,0,"[0.6369747899159663, 0.6369747899159663, 0.6369747899159663, 0.6369747899159663, 0.6369747899159663, 0.6369747899159663, 0.6369747899159663, 0.6369747899159663, 0.6369747899159663, 0.6369747899159663]"
DummyClassifier,MIT,recall_weighted,0.466666667,0,"[0.4666666666666667, 0.4666666666666667, 0.4666666666666667, 0.4666666666666667, 0.4666666666666667, 0.4666666666666667, 0.4666666666666667, 0.4666666666666667, 0.4666666666666667, 0.4666666666666667]"
DummyClassifier,MIT,roc_auc,0.5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
DummyClassifier,MIT,f1_weighted,0.488,0,"[0.48799999999999993, 0.48799999999999993, 0.48799999999999993, 0.48799999999999993, 0.48799999999999993, 0.48799999999999993, 0.48799999999999993, 0.48799999999999993, 0.48799999999999993, 0.48799999999999993]"
DummyClassifier,Multiclass,precision_weighted,0.443434343,0,"[0.4434343434343434, 0.4434343434343434, 0.4434343434343434, 0.4434343434343434, 0.4434343434343434, 0.4434343434343434, 0.4434343434343434, 0.4434343434343434, 0.4434343434343434, 0.4434343434343434]"
DummyClassifier,Multiclass,recall_weighted,0.413043478,0,"[0.41304347826086957, 0.41304347826086957, 0.41304347826086957, 0.41304347826086957, 0.41304347826086957, 0.41304347826086957, 0.41304347826086957, 0.41304347826086957, 0.41304347826086957, 0.41304347826086957]"
DummyClassifier,Multiclass,roc_auc_ovr_weighted,0.5,0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
DummyClassifier,Multiclass,f1_weighted,0.41445905,0,"[0.4144590495449949, 0.4144590495449949, 0.4144590495449949, 0.4144590495449949, 0.4144590495449949, 0.4144590495449949, 0.4144590495449949, 0.4144590495449949, 0.4144590495449949, 0.4144590495449949]"
LogisticRegression,Metal,precision_weighted,0.825660699,0.043677798,"[0.8061443932411674, 0.7992592592592593, 0.8256606990622337, 0.8406349206349206, 0.8528846153846155, 0.8256606990622337, 0.8612794612794613, 0.8708259061200238, 0.7992592592592593, 0.8061443932411674]"
LogisticRegression,Metal,recall_weighted,0.782608696,0.019927536,"[0.782608695652174, 0.7391304347826086, 0.782608695652174, 0.8043478260869565, 0.8222222222222222, 0.7777777777777778, 0.8222222222222222, 0.782608695652174, 0.7608695652173914, 0.782608695652174]"
LogisticRegression,Metal,roc_auc,0.811699858,0.056410028,"[0.8141891891891893, 0.7631578947368421, 0.8040540540540541, 0.7770270270270271, 0.8344594594594594, 0.8421052631578948, 0.8783783783783784, 0.8848684210526316, 0.7297297297297297, 0.8092105263157895]"
LogisticRegression,Metal,f1_weighted,0.798309179,0.026024775,"[0.7885940146809712, 0.7672634271099745, 0.7983091787439613, 0.8185255198487712, 0.8296296296296297, 0.7983091787439613, 0.8349206349206348, 0.8060528559249787, 0.7781978575929426, 0.7917482700091397]"
LogisticRegression,Insulator,precision_weighted,0.742911153,0.022314258,"[0.7429111531190926, 0.7332775919732442, 0.7622694334650856, 0.7680335968379446, 0.7503933747412009, 0.7165013984235952, 0.7165013984235952, 0.7426580827233442, 0.7604515050167224, 0.7429111531190926]"
LogisticRegression,Insulator,recall_weighted,0.739130435,0.034057971,"[0.7391304347826086, 0.717391304347826, 0.7608695652173914, 0.7608695652173914, 0.7391304347826086, 0.6956521739130435, 0.6956521739130435, 0.7333333333333333, 0.7608695652173914, 0.7391304347826086]"
LogisticRegression,Insulator,roc_auc,0.77747619,0.029571429,"[0.774, 0.76, 0.7714285714285715, 0.806, 0.8495238095238095, 0.768, 0.780952380952381, 0.7885714285714286, 0.8285714285714285, 0.774]"
LogisticRegression,Insulator,f1_weighted,0.73937747,0.034244494,"[0.7396245059288536, 0.7177936897711562, 0.7612100451909782, 0.761208757323466, 0.7391304347826089, 0.6956521739130435, 0.6939229249011858, 0.7301587301587302, 0.7602977564302497, 0.7396245059288536]"
