Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,avg_dev_Electronegativity,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
Pr(FeSb3)4,0,../data/Structures/Metals/PrFe4Sb12_CollCode_633160.cif,0,19.39693631,19.46109667,-90.68036232,0.149480969,68,7.280276817,4.56755,2.551229166,3.475640217
Pr(P3Os)4,0,../data/Structures/Metals/PrOs4P12_CollCode_189923.cif,0.513794743,63.1157302,-4.784986286,-93.86318919,0.117647059,66,20.26297578,4.04,2.361746405,2.901500113
Pr(Sb3Os)4,0,../data/Structures/Metals/PrOs4Sb12_CollCode_156258.cif,1.028916651,63.58556367,10.27059225,-87.53765124,0.106020761,68,6.975778547,4.6534,2.624013984,3.552938687
Pr(Sb3Ru)4,0,../data/Structures/Metals/PrRu4Sb12_CollCode_649242.cif,0.100039685,65.30153571,10.45240596,-89.41090772,0.106020761,68,7.640138408,4.6324,2.587451476,3.5249873
ReO2,0,../data/Structures/Metals/ReO2_CollCode_154021.cif,0.208907451,8.878353974,14.82768992,-45.9305686,0.684444444,33,37.77777778,3.67183828,1.984700479,2.818522969
ReO3,0,../data/Structures/Metals/ReO3_CollCode_77679.cif,0.409336857,11.87050288,9.286902257,-68.756142,0.5775,33,31.875,3.7504,1.8752,2.651933272
RhO2,0,../data/Structures/Metals/RhO2_CollCode_28498.cif,0.473449624,16.86127984,13.79049901,-47.24043822,0.515555556,28,33.77777778,3.479251908,1.957961404,2.858229341
Ru4Pb4O13,0,../data/Structures/Metals/Pb2Ru2O6.5_SD_1603162.cif,0.57965871,11.53118654,7.310726178,-39.94450307,0.554195011,31,37.7324263,3.62820025,1.963289495,2.968112306
RuO2,0,../data/Structures/Metals/RuO2_CollCode_15071.cif,0.151495811,9.871708477,10.36015883,-46.92366497,0.551111111,31,35.55555556,3.488040978,1.96992885,2.857819578
Sm(FeP3)4,0,../data/Structures/Metals/SmFe4P12_CollCode_633097.cif,0.21239513,12.34102724,19.75542896,-99.85129302,0.204290657,60,15.8615917,3.90145,2.249415162,2.82881328
Sm(Sb3Os)4,0,../data/Structures/Metals/SmOs4Sb12_CollCode_156468.cif,1.028188908,63.58612881,10.28076413,-87.56852593,0.101591696,62,6.560553633,4.65425,2.624153491,3.553524813
Sm2Mo2O7,0,../data/Structures/Metals/Sm2Mo2O7_CollCode_291028.cif,0.183741464,10.1781781,12.12836674,-39.00306682,0.821487603,64,50.90909091,3.683884909,2.02177833,2.898260283
Sr(FeSb3)4,0,../data/Structures/Metals/SrFe4Sb12_CollCode_658733.cif,0,21.12113772,19.45613195,-12.97567713,0.164429066,77,6.394463668,4.589,2.589643896,3.503563689
Sr(Sb3Os)4,0,../data/Structures/Metals/SrOs4Sb12_SD_1230067.cif,1.033617452,63.59292743,10.28380008,-83.17406426,0.125951557,77,6.311418685,4.6645,2.691143568,3.278674624
Sr2MoO4,0,../data/Structures/Metals/Sr2MoO4_CollCode_152123.cif,0.261573107,10.41136951,13.06201269,-30.83110363,1.022040816,79,56.48979592,3.9176,2.042001033,3.024214055
Sr2RuO4,0,../data/Structures/Metals/Sr2RuO4_CollCode_41604.cif,0.247260431,10.28012142,9.603554712,-31.42653359,1.015510204,79,55.18367347,3.871,1.978277133,2.983588078
Sr3Ru2O7,0,../data/Structures/Metals/Sr3Ru2O7_CollCode_33803.cif,0.20173703,10.33158249,9.477925339,-33.5201505,0.967361111,79,53.18055556,3.925302933,1.965479313,2.890566504
SrCoO3,0,../data/Structures/Metals/SrCoO3_CollCode_184078.cif,0.29245846,24.49468223,3.8971735,-36.98798053,0.972,79,45.36,3.855,1.9275,2.725896641
SrCrO3,0,../data/Structures/Metals/SrCrO3_CollCode_245834.cif,0.362254941,16.53026075,6.586603112,-37.32883003,1.0248,79,48.48,3.8198,1.9099,2.701006483
SrFeO3,0,../data/Structures/Metals/SrFeO3_CollCode_91062.cif,0.154667902,16.35080239,0.322484318,-37.02639962,0.984,79,46.8,3.851,1.9255,2.723068214
SrIrO3,0,../data/Structures/Metals/SrIrO3_CollCode_196446.cif,0.323994737,13.3471685,12.72523503,-35.76647056,0.8952,79,48.96,3.942051529,2.020928512,2.953549323
SrLaCuO4,0,../data/Structures/Metals/LaSrCuO4_CollCode_10252.cif,0.187027998,16.71439177,8.611367652,-28.81705021,1.04,79,54.85714286,3.765,2.002543333,2.985025449
SrLaNiO4,0,../data/Structures/Metals/LaSrNiO4_CollCode_69174.cif,0.359389455,15.96917283,10.57707888,-29.17038872,1.038367347,79,53.55102041,3.8258,1.957266667,2.934181281
SrMoO3,0,../data/Structures/Metals/SrMoO3_CollCode_174208.cif,0.27709566,10.46543962,12.92225313,-35.86152852,0.9048,79,52.08,3.97609,1.988045,2.811520202
SrOsO3,0,../data/Structures/Metals/SrOsO3_SD_0375560.cif,0.622055574,10.34762522,10.50972404,-35.47214492,0.8952,79,49.68,3.942544472,2.053738147,2.962373966
SrRhO3,0,../data/Structures/Metals/SrRhO3_SD_1639007.cif,0.262549762,17.33294638,11.11476749,-35.99889678,0.876,79,49.2,3.926762866,2.000311697,2.941562741
SrRuO3,0,../data/Structures/Metals/SrRuO3_CollCode_75561.cif,0.155205961,10.33072102,8.527722349,-36.14918227,0.8952,79,50.16,3.924381347,1.983937671,2.94756764
SrVO3,0,../data/Structures/Metals/SrVO3_CollCode_88982.cif,0.230191551,14.82361982,8.688999518,-37.12376395,1.032,79,51.84,3.8409,1.92045,2.715926436
Tb(CoGe)2,0,../data/Structures/Metals/TbCo2Ge2_SD_1611697.cif,0,11.30141322,19.46573916,-49.36854386,0.2352,50,22.72,2.815628492,2.344763263,2.5658784
Tb(CoSi)2,0,../data/Structures/Metals/TbCo2Si2_SD_0312563.cif,0,11.18865433,16.98234243,-50.685522,0.2176,49,24.16,2.75488802,2.278395445,2.519628
Tb(NiGe)2,0,../data/Structures/Metals/TbNi2Ge2_SD_0536300.cif,0,11.98624198,19.43723292,-46.74160811,0.24,50,23.04,2.861661143,2.427113224,2.210958
Tb(P3Ru)4,0,../data/Structures/Metals/TbRu4P12_CollCode_245294.cif,0.286860047,64.82657127,-13.03404467,-93.53004179,0.108788927,54,20.1799308,4.0184,2.357779207,2.874034807
Tb(SiNi)2,0,../data/Structures/Metals/TbNi2Si2_SD_0382572.cif,0,11.8730937,16.82190964,-47.78965248,0.2224,49,24.48,2.79872864,2.371631869,2.15604
TiO,0,../data/Structures/Metals/TiO_CollCode_56612.cif,0.169402924,9.072554618,19.74671801,-23.94156679,0.95,44,47,2.97288904,2.10215,2.97288904
TiS2,0,../data/Structures/Metals/TiS2_CollCode_52195.cif,0.087541419,51.80571255,6.792913964,-34.17672373,0.462222222,45,24.44444444,3.4073,2.428744025,3.442522185
Tm(SiNi)2,0,../data/Structures/Metals/TmNi2Si2_CollCode_76719.cif,0,11.39844548,17.00682691,0,0.2096,41,23.2,2.772565689,2.179418328,3.109690853
V7O13,0,../data/Structures/Metals/V7O13_CollCode_197.cif,0,14.10578756,6.579391535,0,0.82355,41,39.585,3.296975594,1.968259115,1.728792529
VO,0,../data/Structures/Metals/VO_HT_CollCode_77705.cif,0.473762042,9.677301246,20.01098683,-24.71336344,0.905,41,43.5,2.88004592,2.0365,2.88004592
W18O49,0,../data/Structures/Metals/W18O49_CollCode_15254.cif,0.307259267,52.80352597,-6.055665433,-61.75683342,0.424397416,36,37.72421475,3.245741977,1.948003143,2.697793903
WO2,0,../data/Structures/Metals/WO2_CollCode_8217.cif,0.149429256,8.230265452,15.86678247,-45.06796579,0.48,36,42.66666667,2.785375122,2.007761872,2.921623089
Yb(FeSb3)4,0,../data/Structures/Metals/YbFe4Sb12_SD_1612005.cif,0,19.10491132,19.45555203,-84.74561441,0.138685121,46,5.508650519,4.578,2.64123813,3.217873819
Ag2BiO3,1,../data/Structures/Insulators/Ag2BiO3_HT_CollCode_415959.cif,0.083760803,9.412308373,13.12724214,-26.91963201,0.74,22,40,3.202870552,2.431059467,3.062898062
Ag2O,1,../data/Structures/Insulators/Ag2O_SD_0311308.cif,0.224967297,9.608296844,8.884820115,-10.3979842,0.671111111,22,35.11111111,3.348857716,2.050748156,4.101496312
AgF2,1,../data/Structures/Insulators/AgF2_CollCode_66014.cif,0.064779796,9.617235169,0.288811211,-10.52104164,0.911111111,28,39.11111111,3.893517989,2.253357753,3.195509186
Al2O3,1,../data/Structures/Insulators/Al2O3_CollCode_31545.cif,0.054228567,87.05776643,19.22862322,-37.74301246,0.8784,14,26.4,3.209199253,1.915279012,2.724010126
AlV2O4,1,../data/Structures/Insulators/AlV2O4_CollCode_60413.cif,0.163291657,11.06577629,17.80168302,-32.83147909,0.889795918,41,37.3877551,2.896309376,2.039840899,2.896332546
As3Ir,1,../data/Structures/Insulators/IrAs3_CollCode_34046.cif,0,65.1089686,19.39075876,0,0.0075,24,8.25,4.23365,2.439206343,3.01906963
As3Rh,1,../data/Structures/Insulators/RhAs3_CollCode_34052.cif,0,48.64534152,17.23244363,0,0.0375,25,8.625,4.22535,2.434618657,3.00884625
Au2O3,1,../data/Structures/Insulators/Au2O3_CollCode_8014.cif,0.111325259,10.67809491,11.78870381,-33.38976958,0.432,21,33.6,3.331783024,2.191840241,2.927423659
Ba2TiO4,1,../data/Structures/Insulators/Ba2TiO4_CollCode_29389.cif,0.148398804,53.24953331,7.368459859,-30.58060615,1.142857143,78,64,5.175454521,1.813600521,3.304933954
BaCoS2,1,../data/Structures/Insulators/BaCoS2_CollCode_246938.cif,0.338819025,12.43036504,21.73164098,-18.01334826,0.5975,79,38.625,3.613249947,2.371241691,3.711307315
BaO,1,../data/Structures/Insulators/BaO_CollCode_26961.cif,0.331325265,22.14880483,13.55510332,-18.2449754,1.275,78,74.5,3.901108112,2.7585,3.901108112
BaPrO3,1,../data/Structures/Insulators/BaPrO3_CollCode_163752.cif,0.209088781,15.25472793,7.926683861,-32.37008663,1.1664,78,68.64,4.371117416,2.223413863,3.288564474
BaSnO3,1,../data/Structures/Insulators/BaSnO3_CollCode_188149.cif,0.105303368,32.7922226,10.42856836,-34.63580085,0.9672,78,53.28,4.1168,2.0584,2.911017197
BaTiO3,1,../data/Structures/Insulators/BaTiO3_CollCode_67519.cif,0.381174059,52.4317375,9.565654137,-35.59524577,1.068,78,58.32,3.9998,2.002175,2.832150888
Ca(FeO2)2,1,../data/Structures/Insulators/CaFe2O4_CollCode_291004.cif,0.151779026,19.99639218,12.67010852,-31.39266181,0.924081633,80,39.51020408,3.378131558,2.040712948,2.947160809
Ca2.668La1.332Mn4O12,1,../data/Structures/Insulators/La33Ca67Mn100O300_CollCode_56519.cif,0.144357165,16.20173639,6.876931184,-35.84351883,1.031208,80,46.39752,3.798253895,1.926364214,2.852278297
Ca2AlFeO5,1,../data/Structures/Insulators/Ca2(FeAl)O5_CollCode_9197.cif,0.21586178,20.35776077,14.60160426,-29.81358725,1.027160494,80,42.09876543,3.691045119,1.931945279,3.039436748
Ca2CrOsO6,1,../data/Structures/Insulators/Ca2CrOsO6_RoomT_CollCode_239672.cif,0.583869088,12.43352166,2.741028212,-31.64547549,0.948,80,44.52,5.400250138,1.936614909,2.86378755
Ca2Fe2O5,1,../data/Structures/Insulators/Ca2Fe2O5_CollCode_15059.cif,0.081921178,20.36602752,13.39501284,-29.25492376,1,80,43.45679012,3.698883073,1.960396599,3.029650012
Ca3Mn4BiO12,1,../data/Structures/Insulators/Ca75Bi25Mn100O300_CollCode_291046.cif,0.159119249,16.46804479,6.348269697,-36.30929217,0.978,80,42.24,3.772054732,1.925922944,2.830035287
Ca4Mn1.96Fe2.04O12,1,../data/Structures/Insulators/Ca2FeMnO6_CollCode_259396.cif,0.1674793,16.22118167,1.65164689,-38.08253849,1.004928,80,43.0632,3.721976265,1.891424532,2.784894843
CaMn7O12,1,../data/Structures/Insulators/CaMn7O12_HT_CollCode_252390.cif,0.263202298,14.13382809,8.669813883,-37.3342897,0.9402,80,37.26,3.331191979,2.156622029,2.774320877
CaMoO4,1,../data/Structures/Insulators/CaMoO4_RoomT_CollCode_62219.cif,0.07160318,53.09128218,0.946815898,-51.26111994,0.826666667,80,44,3.871208928,1.77512292,2.897644832
CaO,1,../data/Structures/Insulators/CaO_CollCode_51409.cif,0.176151811,34.81229573,16.24467569,-20.90412221,1.22,80,55,3.404860573,2.4076,3.404860573
CaOsO3,1,../data/Structures/Insulators/CaOsO3_CollCode_237732.cif,0.232489634,10.29906759,12.03370521,-36.14179602,0.8832,80,45.12,3.890816805,2.006244484,2.921280125
Cd(RhO2)2,1,../data/Structures/Insulators/CdRh2O4_Spinel_RoomT_CollCode_262941.cif,0.119413277,6.270216123,12.14746123,-31.56558014,0.664489796,28,37.55102041,3.083579536,2.048895462,3.090040037
Cd2Ru2O7,1,../data/Structures/Insulators/Cd2Ru2O7_CollCode_86773.cif,0.340025178,12.97903439,5.171516889,-44.59496071,0.691900826,31,36.56198347,3.581142293,1.923613108,3.032030871
CdO,1,../data/Structures/Insulators/CdO_CollCode_31055.cif,0.273988038,16.25436346,11.85342595,-21.28066158,0.875,17,39,3.344615075,2.365,3.344615075
CdO2,1,../data/Structures/Insulators/CdO2_CollCode_36151.cif,0.128060809,16.72679027,-2.718585058,-9.379813019,0.777777778,17,34.66666667,3.756858328,2.308472027,1.487105568
CdS,1,../data/Structures/Insulators/CdS_CollCode_154186.cif,0.181895489,17.06517266,19.5220077,-18.69894228,0.445,18,19.5,4.120644135,2.529486125,4.120644135
Ce(As3Os)4,1,../data/Structures/Insulators/CeOs4As12_CollCode_610010.cif,0.909099024,63.30174336,10.58685507,-93.901742,0.117923875,69,15.3633218,4.26245,2.422346997,3.262778421
Ce(As3Ru)4,1,../data/Structures/Insulators/CeRu4As12_CollCode_610013.cif,0,65.01817591,17.04891241,-94.27886188,0.117923875,69,16.02768166,4.2454,2.412657496,3.249727154
Ce(FeAs3)4,1,../data/Structures/Insulators/CeFe4As12_CollCode_610003.cif,0,15.89533155,19.45427219,-96.49380542,0.204290657,69,11.37716263,4.14795,2.357276737,3.175132084
Ce(FeP3)4,1,../data/Structures/Insulators/CeFe4P12_CollCode_52852.cif,0.206424138,12.34869889,19.76285666,-100.0901823,0.208442907,68,16.35986159,3.896,2.243836928,2.823459923
Ce(P3Ru)4,1,../data/Structures/Insulators/CeRu4P12_CollCode_50595.cif,0.254501888,64.82933358,-11.83624449,-94.83227097,0.118754325,68,21.01038062,4.0215,2.342234288,2.889757529
Ce2O3,1,../data/Structures/Insulators/Ce2O3_Theory_CollCode_96202.cif,0.28585008,13.15197451,15.2949311,-29.45967546,1.1136,72,66.24,4.048683235,2.455193362,3.537382773
CeO2,1,../data/Structures/Insulators/CeO2_CollCode_72155.cif,0.418027828,24.88149532,11.15706407,-41.28054776,1.031111111,72,61.33333333,3.827144742,2.343637948,2.7062
Co3O4,1,../data/Structures/Insulators/Co3O4_CollCode_27497.cif,0.11479814,13.28523228,-5.287248633,-33.91135917,0.764081633,29,29.3877551,3.210790593,1.919790671,2.855258001
CoAs3,1,../data/Structures/Insulators/CoAs3_CollCode_243405.cif,0,14.26088583,19.434593,-13.27947655,0.1125,26,2.625,4.1035,2.336674257,3.145427435
CoO,1,../data/Structures/Insulators/CoO_CollCode_9865.cif,0.13477064,11.63864004,15.67280767,-23.6118999,0.78,29,30,3.014396208,2.1315,3.014396208
CoP3,1,../data/Structures/Insulators/CoP3_CollCode_92393.cif,0,18.94231302,13.90432792,0,0.11625,25,7.125,3.8556,2.225437082,2.813713222
CoSb3,1,../data/Structures/Insulators/CoSb3_CollCode_161491.cif,0,18.73651082,19.43922917,0,0.06375,27,4.875,4.52757,2.529736457,3.446363159
