Compound,Label,struct_file_path,range_MendeleevNumber,mean_MendeleevNumber,avg_dev_MendeleevNumber,maximum_AtomicWeight,range_AtomicWeight,mean_AtomicWeight,avg_dev_AtomicWeight,maximum_MeltingT,range_MeltingT,mean_MeltingT,avg_dev_MeltingT,range_Column,mean_Column,avg_dev_Column,mode_Column,maximum_Row,range_Row,mean_Row,avg_dev_Row,maximum_CovalentRadius,range_CovalentRadius,mean_CovalentRadius,avg_dev_CovalentRadius,mode_CovalentRadius,minimum_Electronegativity,maximum_Electronegativity,range_Electronegativity,mean_Electronegativity,avg_dev_Electronegativity,mode_Electronegativity,avg_dev_NsValence,mode_NsValence,range_NpValence,mean_NpValence,avg_dev_NpValence,mode_NpValence,minimum_NdValence,range_NdValence,mean_NdValence,avg_dev_NdValence,range_NfValence,avg_dev_NfValence,minimum_NValence,maximum_NValence,range_NValence,mean_NValence,avg_dev_NValence,mode_NValence,avg_dev_NsUnfilled,mode_NsUnfilled,minimum_NpUnfilled,maximum_NpUnfilled,range_NpUnfilled,mean_NpUnfilled,avg_dev_NpUnfilled,mode_NpUnfilled,range_NdUnfilled,avg_dev_NdUnfilled,range_NfUnfilled,avg_dev_NfUnfilled,minimum_NUnfilled,range_NUnfilled,mean_NUnfilled,avg_dev_NUnfilled,mode_NUnfilled,minimum_GSvolume_pa,range_GSvolume_pa,mean_GSvolume_pa,avg_dev_GSvolume_pa,mode_GSvolume_pa,avg_dev_GSbandgap,mode_GSbandgap,avg_dev_GSmagmom,maximum_SpaceGroupNumber,mean_SpaceGroupNumber,avg_dev_SpaceGroupNumber,mode_SpaceGroupNumber,minimum_oxidation_state,maximum_oxidation_state,range_oxidation_state,std_dev_oxidation_state,ewald_energy_per_atom,mean_absolute_deviation_in_relative_bond_length,max_relative_bond_length,min_relative_bond_length,minimum_neighbor_distance_variation,maximum_neighbor_distance_variation,range_neighbor_distance_variation,mean_neighbor_distance_variation,avg_dev_neighbor_distance_variation,mean_absolute_deviation_in_relative_cell_size,gii,struct_ordered,struct_disordered,avg_mm_dists,max_mx_dists,min_mx_dists,avg_mx_dists,max_xx_dists,min_xx_dists,avg_xx_dists,v_m,v_x,iv_p1,est_hubbard_u,est_charge_trans,volume_per_site
Ca(FeSb3)4,0,../data/Structures/Metals/CaFe4Sb12_CollCode_42961.cif,78,73.35294118,16.44290657,121.76,81.682,101.4457647,28.67892042,1811,907.22,1129.668235,320.6267128,13,12.58823529,3.404844291,15,5,1,4.705882353,0.415224913,176,44,139.5294118,4.290657439,139,1,2.05,1.05,1.936470588,0.160276817,2.05,0,2,3,2.117647059,1.24567474,3,0,10,8.470588235,2.15916955,0,0,2,15,13,12.58823529,3.404844291,15,0,0,0,3,3,2.117647059,1.24567474,3,4,1.439446367,0,0,0,4,3.058823529,0.442906574,3,10.73,27.04,27.02411765,7.667820069,31.56,0,0,0.759546475,229,184.2941176,25.82698962,166,-3,3,6,3.424908758,0,0.062023007,1.156964365,0.86820111,0.020895866,0.116364884,0.095469018,0.08877017,0.038957244,0.118914223,0,1,0,4.577,2.55979637,2.55979637,2.55979637,3.778550435,2.92433684,3.484248574,-41.37092879,17.10252411,53.28282685,20.06934854,19.45931016,22.56076424
Ca3Ru2O7,0,../data/Structures/Metals/Ca3Ru2O7_CollCode_153769.cif,80,61.83333333,29.36111111,101.07,85.0706,36.19748333,23.56443056,2607,2552.2,745.2166667,805.4861111,14,11.16666667,5.638888889,16,5,3,3,1.166666667,176,110,106.8333333,47.63888889,66,1,3.44,2.44,2.623333333,0.952777778,3.44,0.277777778,2,4,2.333333333,1.944444444,4,0,7,1.166666667,1.944444444,0,0,2,8,6,5.333333333,1.666666667,6,0.277777778,0,0,2,2,1.166666667,0.972222222,2,3,0.833333333,0,0,0,4,1.833333333,0.916666667,2,9.105,28.665,17.00541667,10.38229167,9.105,0,0,0,225,95.58333333,97.51388889,12,-2,4,6,3.246010685,-33.81068315,0.065797799,1.068986434,0.803314671,0.014585969,0.140225002,0.125639033,0.097034743,0.03639579,0.139872921,0.117211702,1,0,3.860704175,2.001217091,1.981048817,1.992857194,3.488881884,2.740998508,2.968528985,-43.37820348,25.38567693,59,10.27020115,8.827433771,12.12024632
CaCrO3,0,../data/Structures/Metals/CaCrO3_CollCode_245840.cif,80,63.4,28.32,51.9961,35.9967,28.01446,14.418072,2180,2125.2,691.88,764.496,14,11.2,5.76,16,4,2,2.8,0.96,176,110,102.6,43.92,66,1,3.44,2.44,2.596,1.0128,3.44,0.32,2,4,2.4,1.92,4,0,5,1,1.6,0,0,2,6,4,5.2,1.28,6,0.32,0,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,28.665,15.255,9.006,9.105,0,0,0,229,98,103.2,12,-2,4,6,3.380617019,-37.76524179,0.077540465,1.08926255,0.806148838,0.010833078,0.140177591,0.129344513,0.093185431,0.042555151,0.137195058,0.334821232,1,0,3.749097131,1.934582757,1.880321446,1.907718178,3.283739675,2.677252046,2.813988827,-46.43851441,25.05729495,69.46,16.45916859,7.076892085,10.53909991
CaMoO3,0,../data/Structures/Metals/CaMoO3_CollCode_172790.cif,80,63.6,28.08,95.96,79.9606,36.80724,24.969408,2896,2841.2,835.08,936.336,14,11.2,5.76,16,5,3,3,1.2,176,110,105.6,47.52,66,1,3.44,2.44,2.696,0.8928,3.44,0.32,2,4,2.4,1.92,4,0,5,1,1.6,0,0,2,6,4,5.2,1.28,6,0.32,0,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,28.665,16.155,8.646,9.105,0,0,0,229,98,103.2,12,-2,4,6,3.380617019,-36.11938691,0.08390459,1.113008123,0.790345077,0.007653608,0.139518303,0.131864695,0.086362717,0.050775117,0.154899581,0.179227001,1,0,3.897426856,2.009171748,1.998336244,2.00481536,3.344329213,2.80866302,2.925036916,-44.00777984,23.93083827,54.417,10.39234439,12.71527035,11.83695896
CaRhO3,0,../data/Structures/Metals/CaRhO3_RoomT_CollCode_164775.cif,80,65.4,25.92,102.9055,86.9061,38.19634,26.636328,2237,2182.2,703.28,778.176,14,11.8,5.04,16,5,3,3,1.2,176,110,103.2,44.64,66,1,3.44,2.44,2.72,0.864,3.44,0.32,2,4,2.4,1.92,4,0,8,1.6,2.56,0,0,2,9,7,5.8,1.52,6,0.32,0,0,2,2,1.2,0.96,2,2,0.64,0,0,0,3,1.8,0.72,2,9.105,28.665,15.745,8.81,9.105,0,0,0,225,97.2,102.24,12,-2,4,6,3.380617019,-36.65399539,0.067018541,1.043530424,0.832453646,0.051372113,0.157596297,0.106224184,0.112991332,0.035475458,0.118733515,0.292496819,1,0,3.8332164,2.134240079,1.855893791,1.99891639,3.222401061,2.70268993,2.892125903,-44.23464185,24.38186378,63,17.24345497,11.70196162,11.30616138
Ce(FeSb3)4,0,../data/Structures/Metals/CeFe4Sb12_CollCode_621065.cif,70,73.82352941,15.77854671,140.116,84.271,107.3303529,24.22840138,1811,907.22,1127.08,321.8447059,12,12.64705882,3.321799308,15,6,2,4.823529412,0.387543253,204,72,141.1764706,7.39100346,139,1.12,2.05,0.93,1.943529412,0.150311419,2.05,0,2,3,2.117647059,1.24567474,3,1,9,8.529411765,2.076124567,1,0.110726644,4,15,11,12.70588235,3.238754325,15,0,0,0,3,3,2.117647059,1.24567474,3,9,2.076124567,13,1.439446367,3,19,4.352941176,2.076124567,3,10.73,26.51,26.99294118,7.653148789,31.56,0,0,0.759546475,229,182.4705882,23.25259516,166,-3,5,8,3.71510164,-90.57137933,0.062278384,1.153293629,0.867658434,0.020427724,0.116654791,0.096227067,0.088684385,0.039487632,0.11936747,0,1,0,4.5675,2.554159722,2.554159722,2.554159722,3.760980567,2.90493,3.477261373,-63.76740932,26.54311681,52.20573448,19.39168406,19.45936051,22.42057457
Ce(P3Os)4,0,../data/Structures/Metals/CeOs4P12_CollCode_621731.cif,68,72.88235294,14.28373702,190.23,159.256238,74.86594965,61.96544138,3306,2988.7,1064.858824,1055.377163,12,12.64705882,3.321799308,15,6,3,3.882352941,1.24567474,204,97,121.4117647,20.34602076,107,1.12,2.2,1.08,2.129411765,0.118754325,2.19,0,2,3,2.117647059,1.24567474,3,0,6,1.470588235,2.131487889,14,5.010380623,4,22,18,8.941176471,6.14532872,5,0,0,0,3,3,2.117647059,1.24567474,3,9,2.076124567,13,1.439446367,3,19,4.352941176,2.076124567,3,14.09,23.15,21.43781513,3.457795353,22.5702381,0.674740484,1.625,0,194,58.47058824,79.72318339,2,-3,5,8,4.183300133,-94.59786904,0.037823739,1.214215822,0.919624555,0.029147334,0.142432932,0.113285598,0.111380916,0.043838141,0.071553265,0.513903267,1,0,4.0313,2.347379986,2.347379986,2.347379986,3.295424398,2.3059036,2.895560926,-69.68515097,25.21948042,168.7,63.1080381,-4.067214433,15.41510281
Ce(Sb3Ru)4,0,../data/Structures/Metals/CeRu4Sb12_CollCode_621988.cif,70,74.05882353,15.44636678,140.116,39.046,117.9715294,7.9536609,2607,1703.22,1314.374118,608.2945329,12,12.64705882,3.321799308,15,6,1,5.058823529,0.110726644,204,65,144.4705882,7.723183391,139,1.12,2.2,1.08,2.030588235,0.107128028,2.05,0.359861592,2,3,2.117647059,1.24567474,3,1,9,8.764705882,1.743944637,1,0.110726644,4,15,11,12.70588235,3.238754325,15,0.359861592,0,0,3,3,2.117647059,1.24567474,3,9,1.743944637,13,1.439446367,3,19,4.352941176,2.076124567,3,13.51,23.73,27.64705882,6.652733564,31.56,0,0,0,194,174.2352941,11.62629758,166,-3,3,6,3.442162816,-87.49130371,0.056459912,1.175900776,0.880022687,0.023884839,0.121961745,0.098076906,0.094241761,0.039134095,0.108154232,0.100049892,1,0,4.63285,2.614389132,2.614389132,2.614389132,3.896422405,2.9094298,3.537041847,-62.34375895,25.09502315,178.41,65.30183764,10.44131864,23.39676361
CrO2,0,../data/Structures/Metals/CrO2_CollCode_202836.cif,38,74.33333333,16.88888889,51.9961,35.9967,27.9983,15.99853333,2180,2125.2,763.2,944.5333333,10,12.66666667,4.444444444,16,4,2,2.666666667,0.888888889,139,73,90.33333333,32.44444444,66,1.66,3.44,1.78,2.846666667,0.791111111,3.44,0.444444444,2,4,2.666666667,1.777777778,4,0,5,1.666666667,2.222222222,0,0,6,6,0,6,0,6,0.444444444,0,0,2,2,1.333333333,0.888888889,2,5,2.222222222,0,0,2,4,3.333333333,1.777777778,2,9.105,2.085,9.8,0.926666667,9.105,0,0,0,229,84.33333333,96.44444444,12,-2,4,6,4.242640687,-48.44477649,0.099028215,1.074271161,0.851457677,0.005186849,0.170680128,0.165493278,0.115515701,0.073552568,0.175416185,0.461232813,1,0,3.390842593,1.91143509,1.891074541,1.904648241,3.194721496,2.471404295,2.773999034,-46.10256388,26.56143024,69.46,16.05337114,8.232910724,9.504906711
Dy(CoSi)2,0,../data/Structures/Metals/DyCo2Si2_SD_0311337.cif,47,60.6,13.92,162.5,134.4145,67.307478,38.0770088,1768,83,1719,39.2,11,9.8,3.36,9,6,3,4,0.8,192,81,133.2,23.52,111,1.22,1.9,0.68,1.756,0.2144,1.88,0,2,2,0.8,0.96,0,0,7,2.8,3.36,10,3.2,4,12,8,7.6,2.88,4,0,0,0,4,4,1.6,1.92,0,3,1.44,4,1.28,3,1,3.6,0.48,3,10.245,20.995,18.522,6.6216,10.245,0.37104,0,0.743266176,227,207.2,15.84,194,-4,3,7,3.872983346,-49.73709238,0.060084043,1.150210109,0.949483774,0.033776009,0.117069765,0.083293756,0.099951904,0.026470358,0.122084337,0,1,0,2.747109845,2.31931099,2.31931099,2.31931099,2.33952,2.33952,2.33952,-21.78960697,34.79943925,33.5,11.17385474,16.99590071,14.71287573
Dy(NiP)2,0,../data/Structures/Metals/DyNi2P2_SD_0459404.cif,52,63.8,15.36,162.5,131.526238,68.3668648,37.65325408,1728,1410.7,1155.12,670.256,12,10.6,3.52,10,6,3,4,0.8,192,85,130.8,24.48,107,1.22,2.19,0.97,1.884,0.2656,1.91,0,2,3,1.2,1.44,0,0,8,3.2,3.84,10,3.2,5,12,7,8.4,2.72,5,0,0,0,3,3,1.2,1.44,0,2,0.96,4,1.28,2,2,2.8,0.64,2,10.32,20.92,19.40409524,7.26727619,10.32,0.78,0,0.285789456,225,129.6,102.08,2,-3,3,6,2.98142397,-49.05064735,0.057409877,1.143524693,0.941374517,0.028234956,0.116825362,0.088590406,0.096179685,0.027177892,0.114324685,0.468640203,1,0,2.727098723,2.314954786,2.314954786,2.314954786,2.112874,2.112874,2.112874,-21.21725878,33.88154357,35.187,11.73795345,39.89219567,13.90582871
Dy(SiNi)2,0,../data/Structures/Metals/DyNi2Si2_CollCode_198757.cif,47,61.8,12.96,162.5,134.4145,67.21156,38.115376,1728,43,1703,20,11,10.2,3.04,10,6,3,4,0.8,192,81,132.4,23.84,111,1.22,1.91,0.69,1.768,0.2192,1.9,0,2,2,0.8,0.96,0,0,8,3.2,3.84,10,3.2,4,12,8,8,3.2,4,0,0,0,4,4,1.6,1.92,0,2,0.96,4,1.28,2,2,3.2,0.96,2,10.32,20.92,18.552,6.5856,10.32,0.37104,0,0.285789456,227,219.6,10.24,225,-4,3,7,3.872983346,0,0.059082903,1.147707258,0.944351557,0.026534203,0.11843657,0.091902368,0.098569012,0.028813924,0.118182355,0,1,0,2.784586504,2.341829685,2.341829685,2.341829685,2.230488,2.230488,2.230488,-21.77518876,34.40043134,34.11961009,11.43581668,16.84336398,14.7820769
Er(CoSi)2,0,../data/Structures/Metals/ErCo2Si2_SD_0548635.cif,43,61.4,13.28,167.259,139.1735,68.259278,39.5998888,1770,83,1736,39.2,11,9.8,3.36,9,6,3,4,0.8,189,78,132.6,22.56,111,1.24,1.9,0.66,1.76,0.208,1.88,0,2,2,0.8,0.96,0,0,7,2.8,3.36,12,3.84,4,14,10,8,3.2,4,0,0,0,4,4,1.6,1.92,0,3,1.44,2,0.64,2,2,3.2,0.64,3,10.245,20.34,18.391,6.5168,10.245,0.37104,0,0.743266176,227,207.2,15.84,194,-4,3,7,3.872983346,-50.39395832,0.06258918,1.156472949,0.952865761,0.032347668,0.123761447,0.091413779,0.10347681,0.028451657,0.128053188,0,1,0,2.745695631,2.293060676,2.293060676,2.293060676,2.44025,2.44025,2.44025,-22.56233147,35.42823858,33.5,11.1711549,16.99780289,14.71733223
Er(SiNi)2,0,../data/Structures/Metals/ErNi2Si2_CollCode_245051.cif,43,62.6,12.32,167.259,139.1735,68.16336,39.638256,1770,83,1720,26.4,11,10.2,3.04,10,6,3,4,0.8,189,78,131.8,22.88,111,1.24,1.91,0.67,1.772,0.2128,1.9,0,2,2,0.8,0.96,0,0,8,3.2,3.84,12,3.84,4,14,10,8.4,3.52,4,0,0,0,4,4,1.6,1.92,0,2,0.96,2,0.64,2,2,2.8,0.96,2,10.32,20.265,18.421,6.4808,10.32,0.37104,0,0.285789456,227,219.6,10.24,225,-4,3,7,3.872983346,0,0.062805654,1.157014134,0.950450693,0.026089233,0.125381594,0.099292361,0.104286624,0.031278956,0.126974983,0,1,0,2.788192749,2.30186866,2.30186866,2.30186866,2.395293,2.395293,2.395293,-21.88077537,34.54961185,34.00892263,11.38941216,16.99438388,14.83749229
Eu(FeP3)4,0,../data/Structures/Metals/EuFe4P12_CollCode_79925.cif,58,73,14.11764706,151.964,120.990238,43.94289082,18.30935834,1811,1493.7,714.5058824,560.7612457,12,12.64705882,3.321799308,15,6,3,3.411764706,0.581314879,198,91,118.2352941,15.8615917,107,1.185,2.19,1.005,2.046176471,0.203044983,2.19,0,2,3,2.117647059,1.24567474,3,0,6,1.411764706,2.15916955,7,0.775086505,5,9,4,5.941176471,1.328719723,5,0,0,0,3,3,2.117647059,1.24567474,3,4,1.439446367,7,0.775086505,3,4,3.470588235,0.664359862,3,10.73,25.73,20.60134454,4.645338606,22.5702381,0.674740484,1.625,0.759546475,229,68.76470588,94.25605536,2,-3,5,8,4.07947365,-99.24952217,0.042489764,1.205060221,0.909709251,0.028169356,0.137714208,0.109544852,0.107470982,0.042696319,0.080766109,0.207865614,1,0,3.90275,2.255087821,2.255087821,2.255087821,3.259076152,2.28326486,2.820194765,-72.462072,27.01292891,33.90607712,12.35030324,19.76010748,13.98695788
