Compound,struct_file_path,d_valence,Tmit
PrCoO3,../data/Structures/MIT_materials/HighT/PrCoO3_CollCode_164820.cif,6,605
PrFe4(CuO4)3,../data/Structures/MIT_materials/HighT/PrCu3Fe4O12_HT_CollCode_237413.cif,8,255.208
PrNiO3,../data/Structures/MIT_materials/HighT/PrNiO3_HT_CollCode_67720.cif,7,136
Sm(P3Ru)4,../data/Structures/MIT_materials/HighT/SmRu4P12_HandGenerated.cif,0,17.5
SmFe4(CuO4)3,../data/Structures/MIT_materials/HighT/SmCu3Fe4O12_HT_CollCode_237415.cif,8,310
SmNiO3,../data/Structures/MIT_materials/HighT/SmNiO3_HT_CollCode_96037.cif,7,403
Sr1.2La4.8Mn6O18,../data/Structures/MIT_materials/HighT/La0.8Sr0.2MnO3_HT_CollCode_152680.cif,3.8,350
Sr3Fe2O7,../data/Structures/MIT_materials/HighT/Sr3Fe2O7_MP_18820.cif,4,340
TbFe4(CuO4)3,../data/Structures/MIT_materials/HighT/TbCu3Fe4O12_HT_CollCode_237418.cif,8,234.37
TbNiO3,../data/Structures/MIT_materials/HighT/TbNiO3_MP_755865.cif,8,
Ti2O3,../data/Structures/MIT_materials/HighT/Ti2O3_HT_CollCode_9656.cif,1,466.5274151
Ti3O5,../data/Structures/MIT_materials/HighT/Ti3O5_HT_CollCode_194464.cif,0,450
Ti4O7,../data/Structures/MIT_materials/HighT/Ti4O7_HT_CollCode_19016.cif,0.5,154.0469974
Tl2Ru2O7,../data/Structures/MIT_materials/HighT/Tl2Ru2O7_HT_CollCode_51158.cif,2,100
TmFe4(CuO4)3,../data/Structures/MIT_materials/HighT/TmCu3Fe4O12_HT_CollCode_237422.cif,8,299.479
V2O3,../data/Structures/MIT_materials/HighT/V2O3_HT_CollCode_1872.cif,2,150
V3O5,../data/Structures/MIT_materials/HighT/V3O5_HT_CollCode_32587.cif,1,425.1697128
V4O7,../data/Structures/MIT_materials/HighT/V4O7_HT_CollCode_2775.cif,1.5,237
V5O9,../data/Structures/MIT_materials/HighT/V5O9_HT_CollCode_6097.cif,1,129.8172324
V6O11,../data/Structures/MIT_materials/HighT/V6O11_HT_CollCode_196.cif,1,176
V6O13,../data/Structures/MIT_materials/HighT/V6O13_HT_CollCode_15028.cif,0,152
V8O15,../data/Structures/MIT_materials/HighT/V8O15_HT_CollCode_424885.cif,1.25,70
VO2,../data/Structures/MIT_materials/HighT/VO2_HT_CollCode_1504.cif,1,340
YNiO3,../data/Structures/MIT_materials/HighT/YNiO3_653K_CollCode_191794.cif,7,579
YbFe4(CuO4)3,../data/Structures/MIT_materials/HighT/YbCu3Fe4O12_HT_CollCode_237423.cif,8,320.312
DyCoO3,../data/Structures/MIT_materials/HighT/DyCoO3_CollCode_172047.cif,6,785
Fe4Cu3BiO12,../data/Structures/MIT_materials/HighT/BiCu3Fe4O12_SD_1125255.cif,8,432
GdCoO3,../data/Structures/MIT_materials/HighT/GdCoO3_SD_0307184.cif,6,740
SmCoO3,../data/Structures/MIT_materials/HighT/SmCoO3_CollCode_230647.cif,6,693
YCoO3,../data/Structures/MIT_materials/HighT/YCoO3_CollCode_155834.cif,6,800
YFe4(CuO4)3,../data/Structures/MIT_materials/HighT/YCu3Fe4O12_CollCode_237749.cif,8.95,250
