Compound,Elements,Tmit,Ti,Rm,Ri,Ri/Rm,Structure,HT Sym,LT Sym,Comments,doi,Average,Spread,Bandgap,Bandgap_doi,Bandgap Comments,Temp_range,dR/dT,metal,oxidation_state
PrCoO3,Pr_Co_O,,,,,,,,,,http://dx.doi.org/10.1103/PhysRevB.79.134103,,,,,,,,Co,3
PrNiO3,Pr_Ni_O,136,,0.00022,0.144,2.815939811,Perovskite,Pbnm,P2_1/n,Polycrystalline,https://doi.org/10.1103/PhysRevB.47.12357,0.07211,0.07189,0.6,https://doi.org/10.1103/PhysRevB.52.13865,,,,Ni,3
SmNiO3,Sm_Ni_O,403,,0.001628333,0.039810717,1.388256777,Perovskite,Pbnm,P2_1/n,,https://doi.org/10.1088/0953-8984/11/2/007,0.020719525,0.019091192,0.3,10.1038/ncomms5860,,,,Ni,3
SrFeO2.8,Sr_Fe_O,70,,3.981071706,630.9573445,2.2,,Fm-3c,,,https://doi.org/10.1103/PhysRevB.73.094451,317.4692081,313.4881364,1.8,https://dx.doi.org/10.1039/C2CE25751C,,,,Fe,3.6
Ti2O3,Ti_O,450,,0.001258925,0.017782794,1.15,Corundum,R-3c,R-3c,,http://dx.doi.org/10.1063/1.2163536,0.00952086,0.008261934,0.04,10.1063/1.3253115,,,,Ti,3
Ti3O5,Ti_O,450,,0.01,2,2.301029996,,C12/c1,P12/a1,,https://doi.org/10.1021/cg5013439,,,0.07,10.1021/cg5013439,,,,Ti,3.33
Ti4O7,Ti_O,149,,0.00048,0.741,3.188576971,,P-1,P-1,"Single crystal, along b axis, at 125K another decrease of 3 orders of resistivity",https://doi.org/10.1103/PhysRev.187.828,0.37074,0.37026,0.15,https://doi.org/10.1103/PhysRevB.14.1429,,,,Ti,3.5
TiS2,Ti_O,574.308094,,0.049475759,0.125702532,0.404951555,,P-3m1,,,http://dx.doi.org/10.1080/01411599008206868,,,1.95,10.1063/1.3253115,,,,Ti,4
Tl2Ru2O7,Tl_Ru_O,100,,0.0015,0.06,1.602059991,Pyrochlore,Fd-3m,,High oxygen pressure synthesis,https://doi.org/10.1006/jssc.1998.7848,,,,,,,,Ru,5
V2O3,V_O,160,,0.013,5000,5.585026652,Corundum,R-3c,C12/c1,"Single crystals, 2 probe, along c",https://doi.org/10.1103/PhysRevLett.3.34,2500.0065,2499.9935,0.1,10.1063/1.3253115,,,,V,3
V2O3,V_O,150,,0.000501187,1000,6.3,Corundum,R-3c,C12/c1,,http://doi.org/10.1103/PhysRevB.7.1920,500.0002506,499.9997494,0.1,10.1063/1.3253115,,,,V,3
V3O5,V_O,428,,0.01,0.630957344,1.8,,C12/c1,P12/c1,,http://dx.doi.org/10.1134/S106378341112002X,,,0.62,http://dx.doi.org/10.1016/0038-1098(78)91492-8,,,,V,3.33
V4O7,V_O,250,,0.003162278,0.112201845,1.55,,P-1,P-1,,http://dx.doi.org/10.1016/0022-4596(73)90233-8,,,0.8,10.1063/1.3253115,,,,V,3.5
V5O9,V_O,135,,0.001584893,114.8153621,4.86,,P-1,P-1,,https://doi.org/10.1109/TMAG.1972.1067354,,,0.15,10.1063/1.3253115,,,,V,3.6
V6O11,V_O,176,,0.01,63.09573445,3.8,,P-1,,,https://doi.org/10.1109/TMAG.1972.1067354,,,0.7,10.1021/acs.jpclett.5b00710,,,,V,3.67
V6O13,V_O,152,148,0.0044,339.156,4.886946828,,C12/m1,P121/a1,"Single Crystal, along c",https://doi.org/10.1016/0022-0248(74)90265-6,,,0.2,10.1016/j.elspec.2005.01.169,,,,V,4.33
V8O15,V_O,70,,0.001,15.84893192,4.2,,P-1,,,https://doi.org/10.1109/TMAG.1972.1067354,,,0.566,10.17188/1272463,,,,V,3.75
VO,V_O,122,,0.012,4576,5.58130477,,Fm-3m,,"Single crystals, 2 probe, along [100]",https://doi.org/10.1103/PhysRevLett.3.34,2288.006,2287.994,0.3,10.1063/1.3253115,,,,V,2
VO2,V_O,340,,0.005,0.5,2,Rutile,P42/mnm,P12/m1,"Single crystals, 2 probe, along c",https://doi.org/10.1103/PhysRevLett.3.34,0.2525,0.2475,0.65,10.1063/1.3253115,,,,V,4
Ca2RuO4,Ca_Ru_O,356.2402089,,1.14075148,15.82272152,1.142090144,,Pbca,Pbca,From Daryl Schlom,,,,,,,,,Ru,4
EuO,Eu_O,57.96344648,,0.004552464,2.93E+11,13.80828337,,Fm-3m,,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.5.3669,,,,,,,,Eu,2
Fe3O4,Fe_O,120.6266319,,0.02802364,2.280239115,1.910455848,,Fd-3m,Pmc21,From Daryl Schlom,https://doi.org/10.1103/RevModPhys.29.279,,,,,,,,Fe,2.67
La0.825Sr0.175MnO3,La_Sr_Fe_O,212.1148825,,0.007111048,0.057798201,0.909980699,,R-3c,R-3c,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.60.13011,,,,,,,,Mn,3.175
La0.7Ca0.3MnO3,La_Ca_Mn_O,217.1279373,,0.006330747,0.060557346,0.98071189,,Pnma,Pnma,From Daryl Schlom,,,,,,,,,Mn,3.3
LaCoO3,La_Co_O,500.3655352,,5.198876303,166.1062181,1.504476406,,R-3c,R-3c,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.53.R2926,,,,,,,,Co,3
NbO2,Nb_O,1059.738903,,0.00107704,0.0041451,0.585303076,,P42/mnm,I41/a,From Daryl Schlom,https://doi.org/10.1139/p74-297,,,,,,,,Nb,4
Ti2O3,Ti_O,466.5274151,,0.000607462,0.006363678,1.020189034,,R-3c,R-3c,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.8.1364,,,,,,,,Ti,3
Ti3O5,Ti_O,357.9112272,,17.00478483,1226.740992,1.858181737,,C12/c1,P12/a1,From Daryl Schlom,https://doi.org/10.1006/jssc.1997.7657,,,,,,,,Ti,3.33
Ti4O7,Ti_O,154.0469974,,0.060454164,116.5765792,3.28518509,,P-1,P-1,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.14.1429,,,,,,,,Ti,3.5
V2O3,V_O,140.6788512,,0.000279427,35737.09519,8.106850229,,R-3c,C12/c1,From Daryl Schlom,https://doi.org/10.1016/j.ssc.2003.10.024,,,,,,,,V,3
V3O5,V_O,425.1697128,,0.012211335,0.517673982,1.627293188,,C12/c1,P12/c1,From Daryl Schlom,https://doi.org/10.1134/S106378341112002X,,,,,,,,V,3.33
V4O7,V_O,202.0887728,,0.003379407,0.23886266,1.849307795,,P-1,P-1,From Daryl Schlom,https://doi.org/10.1134/S1063783409110067,,,,,,,,V,3.5
V5O9,V_O,129.8172324,,0.002377673,9931.388206,6.620857834,,P-1,P-1,From Daryl Schlom,https://doi.org/10.1016/0022-4596(73)90189-8,,,,,,,,V,3.6
V6O11,V_O,173.6814621,,0.07998419,38.16095429,2.678615078,,P-1,,From Daryl Schlom,https://doi.org/10.1016/0022-4596(73)90189-8,,,,,,,,V,3.67
V8O15,V_O,68.40731071,,0.001027118,2.441638628,3.37606107,,P-1,,From Daryl Schlom,https://doi.org/10.1016/0375-9601(70)90836-4,,,,,,,,V,3.75
VO,V_O,115.613577,,0.011570461,8052.689778,5.842590301,,Fm-3m,,From Daryl Schlom,,,,,,,,,V,2
VO2,V_O,334.0992167,,0.000130239,19.50147196,5.175325583,,P42/mnm,P12/m1,From Daryl Schlom,https://doi.org/10.1016/0038-1098(69)90888-6,,,,,,,,V,4
EuCu3Fe4O12,,238.9,227.21,1.535,2908,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
LaCu3Fe4O12,,366.4,358.3,1.799,65.8,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
PrCu3Fe4O12,,303.4,288.3,1.793,257.2,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
NdCu3Fe4O12,,285.4,260.76,1.715,810,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
SmCu3Fe4O12,,268.8,249.3,1.13,1006.3,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
GdCu3Fe4O12,,220.5,176.215,1.824,63103,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
TbCu3Fe4O12,,243.1,226.3,1.569,8984,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
DyCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
HoCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
ErCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
TmCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
YbCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
LuCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
